,comment,like,time,title_list
0,최고의 동기부여 영상ㅋㅋㅋㅋㅋ,9.2K,8 days ago,???: 찬물 샤워를 해보세요
1,오우,13,8 days ago,???: 찬물 샤워를 해보세요
2,ㅋㅋㅋㅋ영상올려줘요,15,8 days ago,???: 찬물 샤워를 해보세요
3,포기란단어를 참 많이쓰는 요즘세상 ㅎㅎsns에 비교하며 사는 사람이 많은세상,16,8 days ago,???: 찬물 샤워를 해보세요
4,포기하지마 거기까진 갈 없어도 시도한 하루가 뿌듯하잖아?,9,8 days ago,???: 찬물 샤워를 해보세요
5,이형이 왜 여깄노ㄷㄷ,2,8 days ago,???: 찬물 샤워를 해보세요
6,저두여 ㅋㅋㅋㅋ 완전 웅장해지는 중,1,8 days ago,???: 찬물 샤워를 해보세요
7,제이풋볼이다,0,8 days ago,???: 찬물 샤워를 해보세요
8,그냥 납니다… ㅋㅋㅋㅋㅋㅋ 미치겠다,18,8 days ago,???: 찬물 샤워를 해보세요
9,ㅋㅋㅋㅋㅋㅋㅋ 진짜 동기부여 영상스럽네,0,8 days ago,???: 찬물 샤워를 해보세요
10,"결국 상협씨는 미라클모닝,이불개기,양치,아침운동,명상,찬물샤워,디지털디톡스,생각비우기,각종 운동,대충과제하고 극복하기,루틴실행,자신의 상황이 엿되었음을 인지하기, 제대로 과제하기까지 모두 다 했네요ㄷㄷㄷㄷㄷㄷ",1.5K,6 days ago,???: 찬물 샤워를 해보세요
11,9시 과제인데 12시 벼락치기로...제가 일찍일어나서 디지털디톡스 저만에 루틴 생각을 비우느라 학원을 늦었습니다,27,6 days ago (edited),???: 찬물 샤워를 해보세요
12,인생 최대의 위기는 인생 최고의 기회다.,13,4 days ago,???: 찬물 샤워를 해보세요
13, @user-bq6sj8fb1z 인생 최대의위기는 그냥 최대의 위기야 임마~,7,3 days ago,???: 찬물 샤워를 해보세요
14,,0,3 days ago,???: 찬물 샤워를 해보세요
15, @user-bg5xy5uj1q 그런마인드로 살아가니깐 극복하고 이겨낼 시도조차 안하는거임 ㅋㅋ,4,3 days ago,???: 찬물 샤워를 해보세요
16,요즘 세상이 대단하긴 하다댓글 몇자로 상대 마인드를 간파해내는 초능력자도 있고...,1,2 days ago,???: 찬물 샤워를 해보세요
17,와 부지런하다.. ㅋㅋ,0,1 day ago,???: 찬물 샤워를 해보세요
18,마지막에 실패란 없다는말에 왜이렇게 눈물이 나는지 모르겠습니다. 항상 각자의 자리에서 열심히 살아가시는분들 모두 끝에는 창대함으로 가득 차길 응원합니다,749,6 days ago,???: 찬물 샤워를 해보세요
